Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Anstruther Easter royal burgh,1841–1929 †,"Royal burgh 1583, previously burgh of barony 1572","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918"
Anstruther Wester royal burgh,1893?–1929 †,"Royal burgh 1587, previously burgh of barony 1541","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918"
Auchtermuchty royal burgh,1874,Royal burgh 1517,None
Burntisland royal burgh,1833,Royal burgh 1541,"One of the Dysart Burghs 1708 to 1832 
 and of the Kirkcaldy Burghs 1832 to 1950"
Crail royal burgh,1893?,"Royal burgh since 1198, chartered 1314 - 29","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918"
Culross royal burgh,1893?,"Royal burgh 1592 
 Previously burgh of barony 1490",One of the Stirling Burghs 1708 to 1918
Cupar royal burgh,1834,Royal burgh by 1327,One of the Perth Burghs 1708 to 1832
Dunfermline royal burgh,1811 - by private act,Royal burgh status restored 1594,"One of the Stirling Burghs 1708 to 1918 
 and of the Dunfermline Burghs 1918 to 1950"
Dysart royal burgh,1834–1930 ‡,"Royal burgh 1587 
 Previously burgh of barony 1510","One of the Dysart Burghs 1708 to 1832 
 and of the Kirkcaldy Burghs 1832 to 1950"
Earlsferry royal burgh,1893?–1929  †,Royal burgh status confirmed 1589,None
Elie and Earlsferry royal burgh,1929  †,Created 1929 from two burghs,None
Falkland royal burgh,1893?,Royal burgh 1458,None
Inverkeithing royal burgh,1892,Royal burgh 13th century,"One of the Stirling Burghs 1708 to 1918 
 and of the Dunfermline Burghs 1918 to 1950"
Kilrenny royal burgh,1848–1929 †,"Royal burgh 1592, previously burgh of regality 1578","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918"
"Kilrenny, Anstruther Easter and Anstruther Wester royal burgh",1929,Created 1929 from three royal burghs,None
Kincardine burgh,Not adopted. Burgh abolished 1893,Burgh of barony 1663,None
Kinghorn royal burgh,1833,Royal burgh 12th century,One of the Dysart Burghs 1708 to 1832 and of the Kirkcaldy Burghs 1832 to 1950
Kirkcaldy royal burgh,1811 (by private act),"Royal burgh 1644 
 Previously ecclesiastical burgh 
 Absorbed Dysart royal burgh 1930","One of the Dysart Burghs 1708 to 1832 
 and of the Kirkcaldy Burghs 1832 to 1950"
Newburgh royal burgh,1850s,"Royal burgh 1631, previously burgh of regality 1600",None
Pittenweem royal burgh,1842,"Royal burgh 1541, burgh of barony 1526","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918"
St Andrews royal burgh,1893?,"Royal burgh 1620 
 Previously burgh of regality 1614 
 and ecclesiastical burgh (12th century)",One of the Perth Burghs 1708 to 1832
Buckhaven and Methil burgh,1891,"Buckhaven burgh of barony 1662, did not endure",One of the Kirkcaldy Burghs 1918 to 1950
Cowdenbeath burgh,1890,None,One of the Dunfermline Burghs 1918 to 1950
Elie  burgh,1865–1929  †,Burgh of barony 1599,None
Ladybank burgh,1877,None,None
Leslie burgh,1865,Burgh of barony (as Leslie Green) 1458,None
Leven burgh,1867,Burgh of barony 1609,None
Lochgelly burgh,1876,None,One of the Dunfermline Burghs 1918 to 1950
Markinch burgh,1891,Burgh of barony 1673,None
Newport-on-Tay burgh,1887,None,None
St. Monance burgh,1933,Burgh of barony 1596,None
Tayport burgh,1887,"Burgh of barony (as Ferry-Port on Craig)1599 
 Burgh of regality (as Ferry-Port on Craig)1725",None
