Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Auchterarder royal burgh,1894,Reinstated as royal burgh 1951,None
Perth royal burgh,1865,Royal burgh c. 1124 - 1127,"One of the Perth Burghs 1708 to 1832 
 Perth burgh constituency 1832 to 1950"
Aberfeldy burgh,1887,None,None
Abernethy burgh,1877,Burgh of barony 1459,None
Alyth burgh,1834,Burgh of barony 1488,None
Blairgowrie burgh,1833–1930 †,Burgh of barony 1634,None
Blairgowrie and Rattray burgh,1930,Formed 1930 from two burghs,None
Callander burgh,1866,None,None
Coupar Angus burgh,1852,Burgh of barony 1607,None
Crieff burgh,1864,None,None
Doune burgh,1890,None,None
Dunblane burgh,1870,Burgh of regality 1442,None
Pitlochry burgh,1947,None,None
Rattray burgh,1877–1930 †,None,None
